#,Freq,Mode,Shift,Offset,"TX Freq",Enc/Dec,Tone,Code,Show,Name,Power,Scan,Clk,Step,Scan2,Scan3,Scan4,Scan5,Scan6,Description
75,"0.0000 ",FM,Minus,0,,,,023,Name,,4,0,Off,,,,,,,
76,"0.0000 ",FM,Minus,0,,,,023,Name,,4,0,Off,,,,,,,
77,"0.0000 ",FM,Minus,0,,,,023,Name,,4,0,Off,,,,,,,
78,"0.0000 ",FM,Minus,0,,,,023,Name,,4,0,Off,,,,,,,
79,"0.0000 ",FM,Minus,0,,,,023,Name,,4,0,Off,,,,,,,
80,"0.0000 ",FM,Minus,0,,,,023,Name,,4,0,Off,,,,,,,
81,"0.0000 ",FM,Minus,0,,,,023,Name,,4,0,Off,,,,,,,
82,"0.0000 ",FM,Minus,0,,,,023,Name,,4,0,Off,,,,,,,
83,"0.0000 ",FM,Minus,0,,,,023,Name,,4,0,Off,,,,,,,
84,"0.0000 ",FM,Minus,0,,,,023,Name,,4,0,Off,,,,,,,
85,"0.0000 ",FM,Minus,0,,,,023,Name,,4,0,Off,,,,,,,
86,"0.0000 ",FM,Minus,0,,,,023,Name,,4,0,Off,,,,,,,
87,"0.0000 ",FM,Minus,0,,,,023,Name,,4,0,Off,,,,,,,
88,"0.0000 ",FM,Minus,0,,,,023,Name,,4,0,Off,,,,,,,
89,"0.0000 ",FM,Minus,0,,,,023,Name,,4,0,Off,,,,,,,
90,"0.0000 ",FM,Minus,0,,,,023,Name,,4,0,Off,,,,,,,
91,"0.0000 ",FM,Minus,0,,,,023,Name,,4,0,Off,,,,,,,
92,"0.0000 ",FM,Minus,0,,,,023,Name,,4,0,Off,,,,,,,
93,"0.0000 ",FM,Minus,0,,,,023,Name,,4,0,Off,,,,,,,
94,"0.0000 ",FM,Minus,0,,,,023,Name,,4,0,Off,,,,,,,
95,"0.0000 ",FM,Minus,0,,,,023,Name,,4,0,Off,,,,,,,
96,"0.0000 ",FM,Minus,0,,,,023,Name,,4,0,Off,,,,,,,
97,"0.0000 ",FM,Minus,0,,,,023,Name,,4,0,Off,,,,,,,
98,"0.0000 ",FM,Minus,0,,,,023,Name,,4,0,Off,,,,,,,
99,"0.0000 ",FM,Minus,0,,,,023,Name,,4,0,Off,,,,,,,
100,"0.0000 ",FM,Minus,0,,,,023,Name,,4,0,Off,,,,,,,
101,"0.0000 ",FM,Minus,0,,,,023,Name,,4,0,Off,,,,,,,
102,"0.0000 ",FM,Minus,0,,,,023,Name,,4,0,Off,,,,,,,
103,"0.0000 ",FM,Minus,0,,,,023,Name,,4,0,Off,,,,,,,
104,"0.0000 ",FM,Minus,0,,,,023,Name,,4,0,Off,,,,,,,
105,"0.0000 ",FM,Minus,0,,,,023,Name,,4,0,Off,,,,,,,
106,"0.0000 ",FM,Minus,0,,,,023,Name,,4,0,Off,,,,,,,
107,"0.0000 ",FM,Minus,0,,,,023,Name,,4,0,Off,,,,,,,
108,"0.0000 ",FM,Minus,0,,,,023,Name,,4,0,Off,,,,,,,
109,"0.0000 ",FM,Minus,0,,,,023,Name,,4,0,Off,,,,,,,
110,"0.0000 ",FM,Minus,0,,,,023,Name,,4,0,Off,,,,,,,
111,"0.0000 ",FM,Minus,0,,,,023,Name,,4,0,Off,,,,,,,
112,"0.0000 ",FM,Minus,0,,,,023,Name,,4,0,Off,,,,,,,
113,"0.0000 ",FM,Minus,0,,,,023,Name,,4,0,Off,,,,,,,
114,"0.0000 ",FM,Minus,0,,,,023,Name,,4,0,Off,,,,,,,
115,"0.0000 ",FM,Minus,0,,,,023,Name,,4,0,Off,,,,,,,
116,"0.0000 ",FM,Minus,0,,,,023,Name,,4,0,Off,,,,,,,
117,"0.0000 ",FM,Minus,0,,,,023,Name,,4,0,Off,,,,,,,
118,"0.0000 ",FM,Minus,0,,,,023,Name,,4,0,Off,,,,,,,
119,"0.0000 ",FM,Minus,0,,,,023,Name,,4,0,Off,,,,,,,
120,"0.0000 ",FM,Minus,0,,,,023,Name,,4,0,Off,,,,,,,
121,"0.0000 ",FM,Minus,0,,,,023,Name,,4,0,Off,,,,,,,
122,"0.0000 ",FM,Minus,0,,,,023,Name,,4,0,Off,,,,,,,
123,"0.0000 ",FM,Minus,0,,,,023,Name,,4,0,Off,,,,,,,
124,"0.0000 ",FM,Minus,0,,,,023,Name,,4,0,Off,,,,,,,
125,"0.0000 ",FM,Minus,0,,,,023,Name,,4,0,Off,,,,,,,
126,"0.0000 ",FM,Minus,0,,,,023,Name,,4,0,Off,,,,,,,
127,"0.0000 ",FM,Minus,0,,,,023,Name,,4,0,Off,,,,,,,
128,"0.0000 ",FM,Minus,0,,,,023,Name,,4,0,Off,,,,,,,
129,"0.0000 ",FM,Minus,0,,,,023,Name,,4,0,Off,,,,,,,
130,"0.0000 ",FM,Minus,0,,,,023,Name,,4,0,Off,,,,,,,
131,"0.0000 ",FM,Minus,0,,,,023,Name,,4,0,Off,,,,,,,
132,"0.0000 ",FM,Minus,0,,,,023,Name,,4,0,Off,,,,,,,
133,"0.0000 ",FM,Minus,0,,,,023,Name,,4,0,Off,,,,,,,
134,"0.0000 ",FM,Minus,0,,,,023,Name,,4,0,Off,,,,,,,
135,"0.0000 ",FM,Minus,0,,,,023,Name,,4,0,Off,,,,,,,
136,"0.0000 ",FM,Minus,0,,,,023,Name,,4,0,Off,,,,,,,
137,"0.0000 ",FM,Minus,0,,,,023,Name,,4,0,Off,,,,,,,
138,"0.0000 ",FM,Minus,0,,,,023,Name,,4,0,Off,,,,,,,
139,"0.0000 ",FM,Minus,0,,,,023,Name,,4,0,Off,,,,,,,
140,"0.0000 ",FM,Minus,0,,,,023,Name,,4,0,Off,,,,,,,
141,"0.0000 ",FM,Minus,0,,,,023,Name,,4,0,Off,,,,,,,
142,"0.0000 ",FM,Minus,0,,,,023,Name,,4,0,Off,,,,,,,
