<pre>** 
			SELECT * FROM
            	(SELECT *  FROM `e107_repeater`
				   ) as tmp
				left join `e107_repeater_band` on tmp.repeater_band_fk=repeater_band_id
				left join `e107_repeater_channel` on tmp.repeater_channel_fk=repeater_channelID
				left join `e107_repeater_type` on tmp.repeater_type_fk=repeater_type_id
				left join `e107_repeater_region` on tmp.repeater_region_fk=repeater_region_id
				left join `e107_repeater_ctcss` on tmp.repeater_ctcss_fk=repeater_ctcss_id
				left join `e107_repeater_status` on tmp.repeater_status_fk=repeater_status_id
				 WHERE repeater_id > 0 
				 ORDER BY repeater_callsign
				 </pre><br />
#,Freq,Mode,Shift,Offset,"TX Freq",Enc/Dec,Tone,Code,Show,Name,Power,Scan,Clk,Step,Scan2,Scan3,Scan4,Scan5,Scan6,Description,"BANK 1","BANK 2","BANK 3","BANK 4","BANK 5","BANK 6","BANK 7","BANK 8","BANK 9",BANK10,BANK11,BANK12,BANK13,BANK14,BANK15,BANK16,BANK17,BANK18,BANK19,BANK20,BANK21,BANK22,BANK23,BANK24,PRFRQ,SMSQL,RXATT,ELL,Masked,Internet,DCSinv
19,"438.4625 ",FM,Minus,0,"430.8625 ",OFF,118.8,023,,GB3BE,HIGH,,OFF,"12.5 K",,,,,,", DUNS, , IO85SS, ",,,,,,,,,,,,,,,,,,,,,,,,,"1600 HZ",OFF,OFF,OFF,NO,OFF,RN-TN
20,"145.1875 ",FM,Minus,0,"145.7875 ",OFF,77.0,023,,GB3BF,HIGH,,OFF,"12.5 K",,,,,,", BEDFORD, , IO92SD, ",,,,,,,,,,,,,,,,,,,,,,,,,"1600 HZ",OFF,OFF,OFF,NO,OFF,RN-TN
21,"434.8250 ",FM,Minus,0,"433.2250 ",OFF,94.8,023,,GB3BG,HIGH,,OFF,"12.5 K",,,,,,", BLAENAVON, , IO81KS, ",,,,,,,,,,,,,,,,,,,,,,,,,"1600 HZ",OFF,OFF,OFF,NO,OFF,RN-TN
22,"145.1250 ",FM,Minus,0,"145.7250 ",OFF,67.0,023,,GB3BI,HIGH,,OFF,"12.5 K",,,,,,", INVERNESS, , IO77WO, ",,,,,,,,,,,,,,,,,,,,,,,,,"1600 HZ",OFF,OFF,OFF,NO,OFF,RN-TN
23,"1,293.8500 ",FM,Minus,0,"1,299.8500 ",OFF,103.5,023,,GB3BK,HIGH,,OFF,"12.5 K",,,,,,", BROMLEY, , JO01AK, ",,,,,,,,,,,,,,,,,,,,,,,,,"1600 HZ",OFF,OFF,OFF,NO,OFF,RN-TN
24,"434.7750 ",FM,Minus,0,"433.1750 ",OFF,77.0,023,,GB3BL,HIGH,,OFF,"12.5 K",,,,,,", BEDFORD, , IO92SD, ",,,,,,,,,,,,,,,,,,,,,,,,,"1600 HZ",OFF,OFF,OFF,NO,OFF,RN-TN
25,"145.1125 ",FM,Minus,0,"145.7125 ",OFF,67.0,023,,GB3BM,HIGH,,OFF,"12.5 K",,,,,,", BIRMINGHAM, , IO92BL, ",,,,,,,,,,,,,,,,,,,,,,,,,"1600 HZ",OFF,OFF,OFF,NO,OFF,RN-TN
26,"434.6000 ",FM,Minus,0,"433.0000 ",OFF,118.8,023,,GB3BN,HIGH,,OFF,"12.5 K",,,,,,", BRACKNELL, , IO91OJ, ",,,,,,,,,,,,,,,,,,,,,,,,,"1600 HZ",OFF,OFF,OFF,NO,OFF,RN-TN
27,"434.7500 ",FM,Minus,0,"433.1500 ",OFF,88.5,023,,GB3BR,HIGH,,OFF,"12.5 K",,,,,,", BRIGHTON, , IO90WT, ",,,,,,,,,,,,,,,,,,,,,,,,,"1600 HZ",OFF,OFF,OFF,NO,OFF,RN-TN
28,"438.4500 ",FM,Minus,0,"430.8500 ",OFF,118.8,023,,GB3BS,HIGH,,OFF,"12.5 K",,,,,,", BRISTOL CITY, , IO81TK, ",,,,,,,,,,,,,,,,,,,,,,,,,"1600 HZ",OFF,OFF,OFF,NO,OFF,RN-TN
29,"145.1000 ",FM,Minus,0,"145.7000 ",OFF,118.8,023,,GB3BT,HIGH,,OFF,"12.5 K",,,,,,", BERWICK ON TWEED, , IO85WT, ",,,,,,,,,,,,,,,,,,,,,,,,,"1600 HZ",OFF,OFF,OFF,NO,OFF,RN-TN
30,"434.6250 ",FM,Minus,0,"433.0250 ",OFF,118.8,023,,GB3BV,HIGH,,OFF,"12.5 K",,,,,,", HEMEL HEMPSTEAD, , IO91SR, ",,,,,,,,,,,,,,,,,,,,,,,,,"1600 HZ",OFF,OFF,OFF,NO,OFF,RN-TN
31,"145.0750 ",FM,Minus,0,"145.6750 ",OFF,,023,,GB3BX,HIGH,,OFF,"12.5 K",,,,,,", MUCH WENLOCK, , IO82QN, ",,,,,,,,,,,,,,,,,,,,,,,,,"1600 HZ",OFF,OFF,OFF,NO,OFF,RN-TN
32,"438.4500 ",FM,Minus,0,"430.8500 ",OFF,110.9,023,,GB3BZ,HIGH,,OFF,"12.5 K",,,,,,", BRAINTREE, , JO01GW, ",,,,,,,,,,,,,,,,,,,,,,,,,"1600 HZ",OFF,OFF,OFF,NO,OFF,RN-TN
33,"434.9250 ",FM,Minus,0,"433.3250 ",OFF,77.0,023,,GB3CA,HIGH,,OFF,"12.5 K",,,,,,", CARLISLE, , IO84OT, ",,,,,,,,,,,,,,,,,,,,,,,,,"1600 HZ",OFF,OFF,OFF,NO,OFF,RN-TN
34,"434.9500 ",FM,Minus,0,"433.3500 ",OFF,67.0,023,,GB3CB,HIGH,,OFF,"12.5 K",,,,,,", BIRMINGHAM, , IO92BL, ",,,,,,,,,,,,,,,,,,,,,,,,,"1600 HZ",OFF,OFF,OFF,NO,OFF,RN-TN
35,"438.5625 ",FM,Minus,0,"430.9625 ",OFF,88.5,023,,GB3CC,HIGH,,OFF,"12.5 K",,,,,,", CHICHESTER, , IO90RM, ",,,,,,,,,,,,,,,,,,,,,,,,,"1600 HZ",OFF,OFF,OFF,NO,OFF,RN-TN
36,"145.0875 ",FM,Minus,0,"145.6875 ",OFF,118.8,023,,GB3CD,HIGH,,OFF,"12.5 K",,,,,,", CROOK, , IO94DR, ",,,,,,,,,,,,,,,,,,,,,,,,,"1600 HZ",OFF,OFF,OFF,NO,OFF,RN-TN
37,"434.9500 ",FM,Minus,0,"433.3500 ",OFF,110.9,023,,GB3CE,HIGH,,OFF,"12.5 K",,,,,,", COLCHESTER, , JO01KV, ",,,,,,,,,,,,,,,,,,,,,,,,,"1600 HZ",OFF,OFF,OFF,NO,OFF,RN-TN
38,"145.0000 ",FM,Minus,0,"145.6000 ",OFF,77.0,023,,GB3CF,HIGH,,OFF,"12.5 K",,,,,,", MARKFIELD  LEICESTER, , IO92IQ, ",,,,,,,,,,,,,,,,,,,,,,,,,"1600 HZ",OFF,OFF,OFF,NO,OFF,RN-TN
39,"145.1250 ",FM,Minus,0,"145.7250 ",OFF,118.8,023,,GB3CG,HIGH,,OFF,"12.5 K",,,,,,", GLOUCESTER, , IO81VU, ",,,,,,,,,,,,,,,,,,,,,,,,,"1600 HZ",OFF,OFF,OFF,NO,OFF,RN-TN
40,"434.6500 ",FM,Minus,0,"433.0500 ",OFF,77.0,023,,GB3CH,HIGH,,OFF,"12.5 K",,,,,,", LISKEARD, , IO70SM, ",,,,,,,,,,,,,,,,,,,,,,,,,"1600 HZ",OFF,OFF,OFF,NO,OFF,RN-TN
41,"434.6500 ",FM,Minus,0,"433.0500 ",OFF,77.0,023,,GB3CI,HIGH,,OFF,"12.5 K",,,,,,", CORBY, , IO92PM, ",,,,,,,,,,,,,,,,,,,,,,,,,"1600 HZ",OFF,OFF,OFF,NO,OFF,RN-TN
42,"29.5400 ",FM,Minus,0,"29.6400 ",OFF,77.0,023,,GB3CJ,HIGH,,OFF,"12.5 K",,,,,,", NORTHAMPTON, , IO92NF, ",,,,,,,,,,,,,,,,,,,,,,,,,"1600 HZ",OFF,OFF,OFF,NO,OFF,RN-TN
43,"434.6000 ",FM,Minus,0,"433.0000 ",OFF,103.5,023,,GB3CK,HIGH,,OFF,"12.5 K",,,,,,", CHARING KENT, , JO01JF, ",,,,,,,,,,,,,,,,,,,,,,,,,"1600 HZ",OFF,OFF,OFF,NO,OFF,RN-TN
44,"434.8250 ",FM,Minus,0,"433.2250 ",OFF,103.5,023,,GB3CL,HIGH,,OFF,"12.5 K",,,,,,", CLACTON, , JO01OT, ",,,,,,,,,,,,,,,,,,,,,,,,,"1600 HZ",OFF,OFF,OFF,NO,OFF,RN-TN
45,"434.8000 ",FM,Minus,0,"433.2000 ",OFF,94.8,023,,GB3CM,HIGH,,OFF,"12.5 K",,,,,,", CARMARTHEN, , IO71VW, ",,,,,,,,,,,,,,,,,,,,,,,,,"1600 HZ",OFF,OFF,OFF,NO,OFF,RN-TN
46,"145.0625 ",FM,Minus,0,"145.6625 ",OFF,77.0,023,,GB3CO,HIGH,,OFF,"12.5 K",,,,,,", CORBY, , IO92PM, ",,,,,,,,,,,,,,,,,,,,,,,,,"1600 HZ",OFF,OFF,OFF,NO,OFF,RN-TN
47,"145.1375 ",FM,Minus,0,"145.7375 ",OFF,110.9,023,,GB3CP,HIGH,,OFF,"12.5 K",,,,,,", FERMANAGH, , IO64IG, ",,,,,,,,,,,,,,,,,,,,,,,,,"1600 HZ",OFF,OFF,OFF,NO,OFF,RN-TN
48,"434.7500 ",FM,Minus,0,"433.1500 ",OFF,110.9,023,,GB3CR,HIGH,,OFF,"12.5 K",,,,,,", CAERGWRLE, , IO83LC, ",,,,,,,,,,,,,,,,,,,,,,,,,"1600 HZ",OFF,OFF,OFF,NO,OFF,RN-TN
49,"145.1500 ",FM,Minus,0,"145.7500 ",OFF,103.5,023,,GB3CS,HIGH,,OFF,"12.5 K",,,,,,", KILSYTH, , IO75XX, ",,,,,,,,,,,,,,,,,,,,,,,,,"1600 HZ",OFF,OFF,OFF,NO,OFF,RN-TN
50,"51.3500 ",FM,Minus,0,"50.8500 ",OFF,77.0,023,,GB3CT,HIGH,,OFF,"12.5 K",,,,,,", NORTHAMPTON, , IO92MG, ",,,,,,,,,,,,,,,,,,,,,,,,,"1600 HZ",OFF,OFF,OFF,NO,OFF,RN-TN
